Filename,Source,Link (if available),Arash's Scores,Maria's Scores,Color Saturation,Framing,Lighting,Clarity,Symmetry,Objective Score,Random,Set,,Counts,
meadows466.jpg,pixabay,https://pixabay.com/photos/poppies-field-of-poppies-klatschmohn-4278376/,,3,0,0,1,1,0,2,1,Train,,Train,300
meadows467.jpg,pixabay,https://pixabay.com/photos/wild-flower-meadow-flowers-bloom-3417207/,,6,1,0,1,1,0,3,2,Train,,Test,100
meadows396.jpg,pixabay,https://pixabay.com/photos/meadow-grass-flowers-fantasy-4920663/,,5,0,1,1,1,0,3,3,Train,,Val,100
meadows435.jpg,pixabay,https://pixabay.com/photos/crocus-spring-blossom-bloom-300045/,,8,1,0,1,1,0,3,4,Train,,,
meadows481.jpg,pixabay,https://pixabay.com/photos/wild-flowers-mark-flowers-summer-626278/,,3,0,0,0,1,0,1,5,Train,,,
meadows422.jpg,pixabay,https://pixabay.com/photos/meadow-flower-meadow-daisies-spring-5229203/,,6,0,0,1,1,0,2,6,Train,,,
meadows484.jpg,pixabay,https://pixabay.com/photos/poppy-flowers-colorful-779547/,,8,1,0,1,1,0,3,7,Train,,,
meadows105.jpg,unsplash,https://unsplash.com/photos/hEjbjw9PpHE,,4,1,1,1,1,0,4,8,Train,,,
meadows493.jpg,pixabay,https://pixabay.com/photos/fog-lake-bank-mist-water-grass-5756914/https://pixabay.com/photos/fog-lake-bank-mist-water-grass-5756914/,,3,0,1,1,1,0,3,9,Train,,,
meadows276.jpg,unsplash,https://unsplash.com/photos/ypj0GvTSV74,,3,0,0,1,1,0,2,10,Train,,,
meadows363.jpg,flickr,https://www.flickr.com/photos/pete_and_emma/9057441463/in/photolist-aWD4C4-p3hyX3-HNzXFz-4NsjUc-ybH5Cv-6CUkCU-6rNpqx-5VBkZQ-6QSr4K-2JPoV1-Vxmzmp-5vNCsU-9XbsQp-d869wh-6DyyhA-6LQyMp-t9ga9g-adUU2n-HNtAP1-nrX35t-yRPdA-NSe7U-2FmoSJ-6er6yf-6emW2x-tBDeE8-g4zwsy-qd69bW-6FjLwE-doMgB-HVZP6y-a2D6pE-eNnKMR-uVyKsW-fjocYf-f8NYtx-9FL56p-KpwgB5-nUfBDW-XCkv9o-nhwLQ1-uQ9TDN-8kKU5p-akRCUR-KX5FJ3-JqxaAq-X74QkQ-dvzZ5A-7T2z3x-Ke3Mao/,,4,1,0,1,0,0,2,11,Train,,,
meadows461.jpg,pixabay,https://pixabay.com/photos/dandelion-meadow-flower-meadow-4212767/,,5,1,0,1,1,0,3,12,Train,,,
meadows228.jpg,unsplash,https://unsplash.com/photos/kz31XDZpYa4,,7,1,0,1,1,0,3,13,Train,,,
meadows127.jpg,unsplash,https://unsplash.com/photos/r0rPKph38RI,,6,1,0,0,1,1,3,14,Train,,,
meadows142.jpg,unsplash,https://unsplash.com/photos/0Xe14j3Oj0s,,5,1,0,1,0,1,3,15,Train,,,
meadows338.jpg,flickr,https://www.flickr.com/photos/j33pman/5756809828/in/photolist-4NYiuF-vEuuSX-npDnjR-LACabQ-DYrv9S-f7x5xT-GM845e-Mt2Qj-npUAyq-9LH9ZS-aGSxuR-9LEn2n-JnQSDa-o1ADFc-af7fgS-qsYyDA-nJ86k2-9XvWYS-5iCk2v-jksKVv-tcFkys-2Xi7hu-usazf9-akdDyB-wkzb2D-G8CzY3-S1uLa-6DuovR-e27EBf-vBJxzc-nSoELv-4N2ke2-daW4n7-gKz6y-6cjEi9-PXwpN-evCbN8-FSSEUW-5jQWRU-eH7LBD-suy3xD-tQivkp-4YZVUw-a1evUA-cwrzvS-fKZiH-a8G3zo-bVuWNk-cVrmAJ-5gPGwo/,,4,1,0,1,1,0,3,16,Train,,,
