Image,ScoreAverage,Percentile,num,Set
forest106.jpg,0.37037037,0,0,train
forest113.jpg,0.333333333,0,1,train
forest118.jpg,0.138888889,0,2,train
forest13.jpg,0.111111111,0,3,train
forest130.jpg,0.37037037,0,4,train
forest132.jpg,0.259259259,0,5,train
forest135.jpg,0.314814815,0,6,train
forest140.jpg,0.333333333,0,7,train
forest151.jpg,0.111111111,0,8,train
forest158.jpg,0.333333333,0,9,train
forest163.jpg,0.333333333,0,10,train
forest165.jpg,0.222222222,0,11,train
forest178.jpg,0.314814815,0,12,train
forest187.jpg,0.277777778,0,13,train
forest19.jpg,0.296296296,0,14,train
forest197.jpg,0.296296296,0,15,train
forest2.jpg,0.222222222,0,16,train
forest226.jpg,0.166666667,0,17,train
forest229.jpg,0.222222222,0,18,train
forest235.jpg,0.37037037,0,19,train
forest255.jpg,0.111111111,0,20,train
forest262.jpg,0.277777778,0,21,train
forest28.jpg,0.277777778,0,22,train
forest289.jpg,0.333333333,0,23,train
forest294.jpg,0.277777778,0,24,train
forest300.jpg,0.166666667,0,25,train
forest308.jpg,0.25,0,26,train
forest317.jpg,0.314814815,0,27,train
forest321.jpg,0.166666667,0,28,train
forest328.jpg,0.296296296,0,29,train
forest332.jpg,0.277777778,0,30,train
forest335.jpg,0.37037037,0,31,train
forest339.jpg,0.222222222,0,32,train
forest34.jpg,0.277777778,0,33,train
forest350.jpg,0.333333333,0,34,train
forest351.jpg,0.166666667,0,35,train
forest353.jpg,0.259259259,0,36,train
forest388.jpg,0.333333333,0,37,train
forest408.jpg,0.333333333,0,38,train
forest418.jpg,0.277777778,0,39,train
forest424.jpg,0.37037037,0,40,train
forest469.jpg,0.25,0,41,train
forest48.jpg,0.37037037,0,42,train
forest480.jpg,0.333333333,0,43,train
forest487.jpg,0.333333333,0,44,train
forest497.jpg,0.277777778,0,45,train
forest504.jpg,0.333333333,0,46,train
forest514.jpg,0.222222222,0,47,train
forest53.jpg,0.222222222,0,48,train
forest536.jpg,0.37037037,0,49,train
forest539.jpg,0.361111111,0,50,train
forest543.jpg,0.333333333,0,51,train
forest56.jpg,0.347222222,0,52,train
forest576.jpg,0.361111111,0,53,train
forest578.jpg,0.277777778,0,54,train
forest59.jpg,0.37037037,0,55,train
forest66.jpg,0.333333333,0,56,train
forest7.jpg,0.361111111,0,57,train
forest72.jpg,0.37037037,0,58,train
forest85.jpg,0.222222222,0,59,train
meadows114.jpg,0.333333333,0,60,train
meadows190.jpg,0.333333333,0,61,train
meadows199.jpg,0.277777778,0,62,train
meadows215.jpg,0.277777778,0,63,train
meadows220.jpg,0.296296296,0,64,train
meadows226.jpg,0.222222222,0,65,train
meadows23.jpg,0.222222222,0,66,train
meadows232.jpg,0.277777778,0,67,train
meadows238.jpg,0.222222222,0,68,train
meadows276.jpg,0.333333333,0,69,train
meadows28.jpg,0.277777778,0,70,train
meadows285.jpg,0.296296296,0,71,train
meadows301.jpg,0.277777778,0,72,train
meadows319.jpg,0.333333333,0,73,train
meadows330.jpg,0.277777778,0,74,train
meadows347.jpg,0.25,0,75,train
meadows35.jpg,0.37037037,0,76,train
meadows353.jpg,0.361111111,0,77,train
meadows355.jpg,0.37037037,0,78,train
meadows361.jpg,0.277777778,0,79,train
meadows362.jpg,0.277777778,0,80,train
meadows37.jpg,0.333333333,0,81,train
meadows39.jpg,0.166666667,0,82,train
meadows434.jpg,0.277777778,0,83,train
meadows459.jpg,0.296296296,0,84,train
meadows466.jpg,0.277777778,0,85,train
meadows483.jpg,0.277777778,0,86,train
meadows491.jpg,0.333333333,0,87,train
meadows493.jpg,0.37037037,0,88,train
meadows498.jpg,0.333333333,0,89,train
meadows50.jpg,0.355555556,0,90,train
meadows52.jpg,0.333333333,0,91,train
meadows65.jpg,0.333333333,0,92,train
meadows66.jpg,0.277777778,0,93,train
meadows8.jpg,0.166666667,0,94,train
meadows95.jpg,0.222222222,0,95,train
waters1.jpg,0.166666667,0,96,train
waters105.jpg,0.194444444,0,97,train
waters120.jpg,0.277777778,0,98,train
waters13.jpg,0.333333333,0,99,train
waters130.jpg,0.166666667,0,100,train
waters133.jpg,0.333333333,0,101,train
waters138.jpg,0.222222222,0,102,train
waters146.jpg,0.333333333,0,103,train
waters148.jpg,0.333333333,0,104,train
waters16.jpg,0.361111111,0,105,train
waters172.jpg,0.361111111,0,106,train
waters183.jpg,0.296296296,0,107,train
waters204.jpg,0.25,0,108,train
waters211.jpg,0.277777778,0,109,train
waters22.jpg,0.277777778,0,110,train
waters224.jpg,0.333333333,0,111,train
waters226.jpg,0.166666667,0,112,train
waters236.jpg,0.37037037,0,113,train
waters239.jpg,0.305555556,0,114,train
waters253.jpg,0.296296296,0,115,train
waters263.jpg,0.361111111,0,116,train
waters275.jpg,0.37037037,0,117,train
waters28.jpg,0.222222222,0,118,train
waters305.jpg,0.222222222,0,119,train
waters310.jpg,0.333333333,0,120,train
waters311.jpg,0.296296296,0,121,train
waters316.jpg,0.333333333,0,122,train
waters322.jpg,0.277777778,0,123,train
waters325.jpg,0.222222222,0,124,train
waters335.jpg,0.351851852,0,125,train
waters338.jpg,0.333333333,0,126,train
waters345.jpg,0.305555556,0,127,train
