Image,Score,FAUNetID,TimeStamp
meadows433.jpg,10,,9/28/2021 13:57
meadows297.jpg,10,,9/28/2021 13:57
forest202.jpg,10,,9/28/2021 13:57
waters350.jpg,10,,9/28/2021 13:57
meadows3.jpg,10,,9/29/2021 9:56
meadows3.jpg,10,,9/29/2021 9:56
meadows88.jpg,10,,9/29/2021 9:57
meadows88.jpg,10,,9/29/2021 9:57
meadows4.jpg,5,,9/29/2021 9:57
meadows4.jpg,5,,9/29/2021 9:57
waters253.jpg,5,,9/29/2021 9:57
waters253.jpg,5,,9/29/2021 9:57
meadows402.jpg,10,,9/29/2021 9:57
meadows402.jpg,10,,9/29/2021 9:57
forest193.jpg,8,,9/29/2021 9:57
forest193.jpg,8,,9/29/2021 9:57
forest300.jpg,5,,9/29/2021 9:57
waters47.jpg,7,,9/29/2021 9:57
waters47.jpg,7,,9/29/2021 9:57
meadows222.jpg,7,,9/29/2021 9:57
meadows222.jpg,7,,9/29/2021 9:57
forest3.jpg,5,,9/29/2021 9:57
forest3.jpg,5,,9/29/2021 9:57
waters649.jpg,7,,9/29/2021 9:57
waters879.jpg,10,,9/29/2021 9:57
waters879.jpg,10,,9/29/2021 9:57
waters122.jpg,10,,9/29/2021 9:57
waters489.jpg,10,,9/29/2021 9:57
waters489.jpg,10,,9/29/2021 9:57
forest487.jpg,5,,9/29/2021 9:57
forest494.jpg,8,,9/29/2021 9:57
forest494.jpg,8,,9/29/2021 9:57
waters348.jpg,10,,9/29/2021 9:57
waters348.jpg,10,,9/29/2021 9:57
waters182.jpg,10,,9/29/2021 9:58
waters182.jpg,10,,9/29/2021 9:58
forest490.jpg,8,,9/29/2021 9:58
forest490.jpg,8,,9/29/2021 9:58
meadows182.jpg,8,,9/29/2021 9:58
meadows182.jpg,8,,9/29/2021 9:58
forest563.jpg,5,,9/29/2021 9:58
forest563.jpg,5,,9/29/2021 9:58
waters401.jpg,10,,9/29/2021 9:58
waters401.jpg,10,,9/29/2021 9:58
waters199.jpg,5,,9/29/2021 9:58
waters199.jpg,5,,9/29/2021 9:58
meadows28.jpg,8,,9/29/2021 9:58
meadows28.jpg,8,,9/29/2021 9:58
waters625.jpg,10,,9/29/2021 9:58
waters625.jpg,10,,9/29/2021 9:58
meadows310.jpg,10,,9/29/2021 9:58
meadows310.jpg,10,,9/29/2021 9:58
forest214.jpg,10,,9/29/2021 9:58
forest214.jpg,10,,9/29/2021 9:58
waters784.jpg,10,,9/29/2021 9:58
waters784.jpg,10,,9/29/2021 9:58
meadows10.jpg,10,,9/29/2021 9:58
meadows10.jpg,10,,9/29/2021 9:58
forest398.jpg,7,,9/29/2021 9:58
forest398.jpg,7,,9/29/2021 9:58
forest36.jpg,5,,9/29/2021 9:58
forest36.jpg,5,,9/29/2021 9:58
meadows398.jpg,10,,9/29/2021 9:58
meadows398.jpg,10,,9/29/2021 9:58
forest302.jpg,5,,9/29/2021 9:58
forest302.jpg,5,,9/29/2021 9:58
forest340.jpg,5,,9/29/2021 9:58
forest340.jpg,5,,9/29/2021 9:58
waters393.jpg,5,,9/29/2021 9:58
waters393.jpg,5,,9/29/2021 9:58
meadows110.jpg,5,,9/29/2021 9:58
meadows110.jpg,5,,9/29/2021 9:58
meadows317.jpg,5,,9/29/2021 9:58
meadows317.jpg,5,,9/29/2021 9:58
waters509.jpg,5,,9/29/2021 9:58
waters509.jpg,5,,9/29/2021 9:58
waters409.jpg,8,,9/29/2021 9:58
waters409.jpg,8,,9/29/2021 9:58
waters603.jpg,10,,9/29/2021 9:58
waters603.jpg,10,,9/29/2021 9:58
meadows279.jpg,10,,9/29/2021 9:59
meadows279.jpg,10,,9/29/2021 9:59
waters649.jpg,8,,9/29/2021 9:59
waters649.jpg,8,,9/29/2021 9:59
waters374.jpg,8,,9/29/2021 9:59
forest60.jpg,10,,9/29/2021 9:59
forest60.jpg,10,,9/29/2021 9:59
forest382.jpg,5,,9/29/2021 9:59
forest382.jpg,5,,9/29/2021 9:59
waters271.jpg,8,,9/29/2021 9:59
waters271.jpg,8,,9/29/2021 9:59
waters451.jpg,8,,9/29/2021 9:59
waters451.jpg,8,,9/29/2021 9:59
forest567.jpg,5,,9/29/2021 9:59
forest567.jpg,5,,9/29/2021 9:59
waters676.jpg,8,,9/29/2021 9:59
waters676.jpg,8,,9/29/2021 9:59
waters450.jpg,8,,9/29/2021 9:59
forest342.jpg,5,,9/29/2021 9:59
forest342.jpg,5,,9/29/2021 9:59
waters367.jpg,5,,9/29/2021 9:59
waters367.jpg,5,,9/29/2021 9:59
forest452.jpg,5,,9/29/2021 9:59
waters853.jpg,8,,9/29/2021 9:59
forest92.jpg,5,,9/29/2021 9:59
forest92.jpg,5,,9/29/2021 9:59
waters133.jpg,5,,9/29/2021 9:59
waters133.jpg,5,,9/29/2021 9:59
meadows50.jpg,5,,9/29/2021 9:59
meadows50.jpg,5,,9/29/2021 9:59
waters359.jpg,8,,9/29/2021 9:59
waters359.jpg,8,,9/29/2021 9:59
waters85.jpg,5,,9/29/2021 10:00
waters85.jpg,5,,9/29/2021 10:00
waters576.jpg,8,,9/29/2021 10:00
waters576.jpg,8,,9/29/2021 10:00
waters441.jpg,5,,9/29/2021 10:00
waters441.jpg,5,,9/29/2021 10:00
waters552.jpg,10,,9/29/2021 10:00
waters552.jpg,10,,9/29/2021 10:00
forest5.jpg,5,,9/29/2021 10:00
meadows57.jpg,10,,9/29/2021 10:00
meadows57.jpg,10,,9/29/2021 10:00
meadows252.jpg,10,,9/29/2021 10:00
meadows252.jpg,10,,9/29/2021 10:00
meadows180.jpg,10,,9/29/2021 10:00
meadows180.jpg,10,,9/29/2021 10:00
meadows216.jpg,8,,9/29/2021 10:00
